created_at,field1,field2,latitude,longitude,elevation,status
2020-07-03 18:03:23 IST,28.31,62.06,,,,
2020-07-03 18:34:02 IST,28.15,61.49,,,,
2020-07-03 19:04:40 IST,27.91,61.88,,,,
2020-07-03 19:35:19 IST,27.68,63.28,,,,
2020-07-03 20:05:57 IST,27.59,64,,,,
2020-07-03 20:36:38 IST,27.39,64.7,,,,
2020-10-06 14:33:27 IST,33.8,33,,,,
2021-01-22 13:56:28 IST,30.38,34.11,,,,
2021-01-23 10:36:30 IST,24.9,43.46,,,,
2021-01-23 10:37:50 IST,25.04,44.87,,,,
2021-01-23 10:38:30 IST,25.06,42.95,,,,
2021-01-23 10:40:03 IST,25.15,42.61,,,,
2021-01-23 10:40:42 IST,25.14,43.29,,,,
2021-01-23 10:42:09 IST,25.2,42.66,,,,
2021-01-23 10:42:49 IST,25.27,42.93,,,,
2021-01-23 10:43:28 IST,25.25,42.64,,,,
2021-01-23 10:44:08 IST,25.3,42.66,,,,
2021-01-23 16:23:23 IST,30.01,52.5,,,,
2021-01-23 16:30:35 IST,29.57,60.03,,,,
2021-01-23 16:41:20 IST,30.14,60.19,,,,
2021-01-23 16:43:31 IST,30.36,43.92,,,,
2021-01-23 16:44:32 IST,30.12,44.65,,,,
2021-01-23 16:57:37 IST,29.98,60.5,,,,
2021-01-29 16:36:22 IST,28.24,27.19,,,,
2021-01-29 16:56:22 IST,27.47,29.02,,,,
2021-01-29 16:57:02 IST,27.95,28.76,,,,
2021-01-29 16:57:43 IST,28.04,28.86,,,,
2021-01-29 16:58:58 IST,29.59,60.5,,,,
2021-01-30 11:51:53 IST,30.01,37.96,,,,
2021-01-30 12:07:26 IST,30.05,50.44,,,,
2021-01-30 12:30:20 IST,35.15,44.12,,,,
2021-01-30 14:46:35 IST,27.38,36.46,,,,
2021-01-30 14:57:14 IST,26.82,34.14,,,,
2021-01-30 15:00:27 IST,26.83,33.83,,,,
2021-01-30 15:01:08 IST,26.84,32.09,,,,
2021-01-30 16:10:57 IST,30.05,53.98,,,,
2021-01-30 17:12:38 IST,29.04,60.24,,,,
2021-01-31 10:32:46 IST,29.33,61.08,,,,
2021-01-31 10:48:05 IST,26.27,100,,,,
2021-01-31 11:06:59 IST,30.01,44.47,,,,
2021-01-31 11:22:47 IST,30.03,40.94,,,,
2021-01-31 11:37:01 IST,30.02,40.04,,,,
2021-01-31 11:51:03 IST,30.02,41.99,,,,
2021-01-31 12:04:55 IST,30.01,43.76,,,,
2021-01-31 12:17:25 IST,30.04,39.93,,,,
2021-01-31 12:29:40 IST,30.04,39.29,,,,
2021-01-31 12:41:19 IST,30.01,39.37,,,,
2021-01-31 12:52:58 IST,30.01,38.81,,,,
2021-01-31 13:05:09 IST,30.03,38.77,,,,
2021-01-31 13:15:54 IST,30.01,37.58,,,,
2021-01-31 13:27:31 IST,30.02,38.24,,,,
2021-01-31 13:38:31 IST,30.04,36.63,,,,
2021-01-31 13:49:10 IST,30.16,36.04,,,,
2021-01-31 13:59:57 IST,30.02,32.51,,,,
2021-01-31 14:11:36 IST,30.02,31.81,,,,
2021-01-31 14:23:14 IST,30.03,32.66,,,,
2021-01-31 14:34:59 IST,30.02,35.39,,,,
2021-01-31 14:48:26 IST,30.02,36.95,,,,
2021-01-31 15:01:36 IST,30.02,35.36,,,,
2021-01-31 15:15:41 IST,30.02,35.96,,,,
2021-01-31 15:30:15 IST,30.03,34.11,,,,
2021-01-31 15:46:15 IST,30.01,38.24,,,,
2021-01-31 16:05:20 IST,30.01,31.55,,,,
